sample_id,sample_role,condition,spectrum_file,relative_path,filter_label,filter_nm,bin_start_nm,bin_end_nm,bin_center_nm,mean_intensity_10nm,median_intensity_10nm,std_intensity_10nm,points_in_bin
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,450.0,460.0,455.160348,288.956087,296.96,34.676488,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,460.0,470.0,465.193435,300.571739,302.0,34.582265,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,470.0,480.0,475.201,304.406957,294.43,35.874134,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,480.0,490.0,485.182913,317.448696,319.64,27.049184,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,490.0,500.0,495.139043,311.96913,302.0,31.017413,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,500.0,510.0,505.069348,306.160435,314.6,34.042295,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,510.0,520.0,514.973652,319.092174,327.2,38.139895,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,520.0,530.0,525.066167,309.663333,309.56,28.981592,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,530.0,540.0,535.131478,384.298696,385.18,34.034171,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,540.0,550.0,544.956,439.97,450.71,35.902223,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,550.0,560.0,554.966667,438.107083,429.29,28.349742,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,560.0,570.0,564.949739,431.423043,435.59,34.155181,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,570.0,580.0,574.905,334.448333,330.98,44.702193,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,580.0,590.0,585.043208,305.357917,305.78,29.301789,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,590.0,600.0,595.152042,297.585417,299.48,35.469514,24.0
